video_file_name,audio_file_name,video_position,audio_position_start,audio_position_end,motorcycle_present,car_present,van_present,truck_present,bus_present
G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/rec_0524140000.avi,G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/audio_data_20190524T120000.wav,6526,426,4526,0,0,0,0,1
G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/rec_0524140000.avi,G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/audio_data_20190524T120000.wav,9675,4560,7675,0,0,1,0,0
G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/rec_0524140000.avi,G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/audio_data_20190524T120000.wav,19887,15308,17887,0,0,1,0,0
G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/rec_0524140000.avi,G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/audio_data_20190524T120000.wav,29251,22982,27251,0,1,0,0,0
G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/rec_0524140000.avi,G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/audio_data_20190524T120000.wav,37271,30867,35271,0,1,0,0,0
G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/rec_0524140000.avi,G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/audio_data_20190524T120000.wav,41755,35660,39755,0,1,0,0,0
G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/rec_0524140000.avi,G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/audio_data_20190524T120000.wav,46223,39637,44223,0,1,0,0,0
G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/rec_0524140000.avi,G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/audio_data_20190524T120000.wav,59264,52916,57264,0,1,0,0,0
G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/rec_0524140000.avi,G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/audio_data_20190524T120000.wav,66437,60125,64437,0,1,0,0,0
G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/rec_0524140000.avi,G:/Moje dane/ProjektBadawczy/INZNAK Viewer/data/audio_data_20190524T120000.wav,72568,65775,70568,0,0,1,0,0
