ID,epochs,val_loss,train_loss,val_acc,train_acc,model_path
3cnn_adam_relu_0,89,0.875940979,0.802853674,0.666666667,0.692307692,models/model_3cnn_adam_relu_0.torch
3cnn_adam_relu_1,49,1.092602134,1.409627497,0.666666667,0.576923077,models/model_3cnn_adam_relu_1.torch
3cnn_adam_relu_2,132,0.573185563,0.488331676,0.666666667,0.807692308,models/model_3cnn_adam_relu_2.torch
3cnn_adam_relu_3,99,0.413491249,0.571320713,1.0,0.730769231,models/model_3cnn_adam_relu_3.torch
3cnn_adam_relu_4,49,0.906753123,1.064832628,0.666666667,0.576923077,models/model_3cnn_adam_relu_4.torch
4cnn_adam_relu_0,180,0.381230563,0.63164562,1.0,0.807692308,models/model_4cnn_adam_relu_0.torch
4cnn_adam_relu_1,87,1.06223011,1.056823432,0.833333333,0.692307692,models/model_4cnn_adam_relu_1.torch
4cnn_adam_relu_2,236,0.370162576,0.458880231,0.833333333,0.884615385,models/model_4cnn_adam_relu_2.torch
4cnn_adam_relu_3,97,1.206636786,1.008541346,0.666666667,0.692307692,models/model_4cnn_adam_relu_3.torch
4cnn_adam_relu_4,166,0.521561563,0.409969047,0.833333333,0.884615385,models/model_4cnn_adam_relu_4.torch
2cnn_adam_relu_0,208,0.965249777,0.679607213,0.5,0.807692308,models/model_2cnn_adam_relu_0.torch
2cnn_adam_relu_1,218,0.596034884,0.733109564,0.833333333,0.692307692,models/model_2cnn_adam_relu_1.torch
2cnn_adam_relu_2,219,0.611266196,0.708531529,0.833333333,0.653846154,models/model_2cnn_adam_relu_2.torch
2cnn_adam_relu_3,181,1.06892252,0.962811619,0.666666667,0.653846154,models/model_2cnn_adam_relu_3.torch
2cnn_adam_relu_4,39,2.055149794,2.316668868,0.666666667,0.076923077,models/model_2cnn_adam_relu_4.torch
1cnn_adam_relu_0,255,0.753972232,0.817702591,0.833333333,0.692307692,models/model_1cnn_adam_relu_0.torch
1cnn_adam_relu_1,268,0.798192084,0.932006121,0.833333333,0.653846154,models/model_1cnn_adam_relu_1.torch
1cnn_adam_relu_2,285,0.578754961,0.869911224,0.833333333,0.692307692,models/model_1cnn_adam_relu_2.torch
1cnn_adam_relu_3,12,2.232135534,2.29418993,0.0,0.038461538,models/model_1cnn_adam_relu_3.torch
1cnn_adam_relu_4,256,0.796079218,0.865368605,0.833333333,0.692307692,models/model_1cnn_adam_relu_4.torch
1dnn_adam_relu_0,260,1.65092361,1.711332679,0.5,0.346153846,models/model_1dnn_adam_relu_0.torch
1dnn_adam_relu_1,299,1.740830064,1.697058976,0.5,0.307692308,models/model_1dnn_adam_relu_1.torch
1dnn_adam_relu_2,383,1.509108424,1.733236372,0.833333333,0.461538462,models/model_1dnn_adam_relu_2.torch
1dnn_adam_relu_3,11,2.190334558,2.26461935,0.166666667,0.0,models/model_1dnn_adam_relu_3.torch
1dnn_adam_relu_4,233,1.971067786,1.652135789,0.166666667,0.538461538,models/model_1dnn_adam_relu_4.torch
2dnn_adam_relu_0,255,0.967730522,0.908323318,0.5,0.615384615,models/model_2dnn_adam_relu_0.torch
2dnn_adam_relu_1,261,1.005729198,0.934955865,0.5,0.615384615,models/model_2dnn_adam_relu_1.torch
2dnn_adam_relu_2,215,0.984381616,0.97396794,0.5,0.615384615,models/model_2dnn_adam_relu_2.torch
2dnn_adam_relu_3,270,0.93416065,0.969178557,0.666666667,0.576923077,models/model_2dnn_adam_relu_3.torch
2dnn_adam_relu_4,335,0.805059254,0.979140341,0.666666667,0.615384615,models/model_2dnn_adam_relu_4.torch
3dnn_adam_relu_0,158,0.800854445,0.948011339,0.666666667,0.576923077,models/model_3dnn_adam_relu_0.torch
3dnn_adam_relu_1,208,0.637474239,0.931096107,0.833333333,0.538461538,models/model_3dnn_adam_relu_1.torch
3dnn_adam_relu_2,118,1.048646569,0.893823832,0.5,0.615384615,models/model_3dnn_adam_relu_2.torch
3dnn_adam_relu_3,172,1.20633471,0.766748279,0.333333333,0.692307692,models/model_3dnn_adam_relu_3.torch
3dnn_adam_relu_4,184,1.203905463,0.819977343,0.333333333,0.653846154,models/model_3dnn_adam_relu_4.torch
cnn_dnn_adam_relu_0,222,0.699859619,0.62524572,0.666666667,0.730769231,models/model_cnn_dnn_adam_relu_0.torch
cnn_dnn_adam_relu_1,42,2.257060289,2.120341539,0.333333333,0.5,models/model_cnn_dnn_adam_relu_1.torch
cnn_dnn_adam_relu_2,257,0.923267365,0.73053965,0.5,0.615384615,models/model_cnn_dnn_adam_relu_2.torch
cnn_dnn_adam_relu_3,228,0.688179433,0.690898657,0.833333333,0.692307692,models/model_cnn_dnn_adam_relu_3.torch
cnn_dnn_adam_relu_4,221,0.520202518,0.738411725,0.833333333,0.692307692,models/model_cnn_dnn_adam_relu_4.torch
diffn_4cnn_adam_relu_0,49,1.032707572,0.682843685,0.5,0.807692308,models/model_diffn_4cnn_adam_relu_0.torch
diffn_4cnn_adam_relu_1,217,0.191096857,0.4547012,1.0,0.846153846,models/model_diffn_4cnn_adam_relu_1.torch
diffn_4cnn_adam_relu_2,5,0.983954489,1.035108387,0.5,0.384615385,models/model_diffn_4cnn_adam_relu_2.torch
diffn_4cnn_adam_relu_3,82,0.63144666,0.722375631,0.666666667,0.692307692,models/model_diffn_4cnn_adam_relu_3.torch
diffn_4cnn_adam_relu_4,76,0.556767285,0.662657112,0.833333333,0.807692308,models/model_diffn_4cnn_adam_relu_4.torch
10n_4cnn_adam_relu_0,125,0.386049151,0.474823341,1.0,0.807692308,models/model_10n_4cnn_adam_relu_0.torch
10n_4cnn_adam_relu_1,149,0.54810667,0.588960528,0.666666667,0.730769231,models/model_10n_4cnn_adam_relu_1.torch
10n_4cnn_adam_relu_2,109,0.444675833,0.52872242,0.833333333,0.807692308,models/model_10n_4cnn_adam_relu_2.torch
10n_4cnn_adam_relu_3,172,0.189141378,0.481531009,1.0,0.769230769,models/model_10n_4cnn_adam_relu_3.torch
10n_4cnn_adam_relu_4,65,0.834814847,0.719489694,0.5,0.769230769,models/model_10n_4cnn_adam_relu_4.torch
100n_4cnn_adam_relu_0,68,0.220932603,0.396544702,1.0,0.884615385,models/model_100n_4cnn_adam_relu_0.torch
100n_4cnn_adam_relu_1,6,0.95542556,0.833848983,0.833333333,0.653846154,models/model_100n_4cnn_adam_relu_1.torch
100n_4cnn_adam_relu_2,39,0.363683939,0.561827809,0.833333333,0.846153846,models/model_100n_4cnn_adam_relu_2.torch
100n_4cnn_adam_relu_3,31,0.480038255,0.506039828,0.666666667,0.807692308,models/model_100n_4cnn_adam_relu_3.torch
100n_4cnn_adam_relu_4,42,0.417630464,0.386717528,1.0,0.923076923,models/model_100n_4cnn_adam_relu_4.torch
50n_4cnn_adam_relu_0,0,1.038484812,1.180775344,0.5,0.230769231,models/model_50n_4cnn_adam_relu_0.torch
50n_4cnn_adam_relu_1,11,0.832064629,0.882537305,0.666666667,0.692307692,models/model_50n_4cnn_adam_relu_1.torch
50n_4cnn_adam_relu_2,20,0.886427939,0.898893535,0.666666667,0.692307692,models/model_50n_4cnn_adam_relu_2.torch
50n_4cnn_adam_relu_3,70,0.433308214,0.426722452,0.833333333,0.884615385,models/model_50n_4cnn_adam_relu_3.torch
50n_4cnn_adam_relu_4,9,0.879052579,0.866182268,0.5,0.615384615,models/model_50n_4cnn_adam_relu_4.torch
